WW,BuildComment,StreamName,TestSessionFirstRunTPT,TestSessionTotalTPT,TaskFirstRunMachineHours,TaskReRunMachineHours,TSDuration,QBBuildDuration,TotalDuration
30,manual-main-129691,Media-Encode-CNL-PreETM,47:46:52,47:46:52,87:36:55,"",47:48:20,01:15:47,49:04:07
30,manual-main-129691,Media-Encode-BXT-PreETM,45:17:31,45:17:31,54:17:05,"",47:48:20,01:15:47,49:04:07
30,manual-main-129687,Media-Encode-Pre-ETM-BXT-Android,51:23:10,51:23:10,15:36:15,"",51:23:10,00:43:20,52:06:30
30,manual-main-129677,Media-CP-BXT-PreETM,43:49:49,43:49:49,383:58:49,"",43:49:49,01:14:09,45:03:58
30,manual-main-129651,Media-CP-BXT-PreETM,19:14:38,19:14:39,95:59:38,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-Decode-BXT-PreETM,48:49:34,51:28:55,130:48:08,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-Encode-BXT-PreETM,75:07:07,75:07:07,350:27:19,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-Decode-CNL-PreETM,50:31:34,50:31:35,42:16:12,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-Encode-Pre-ETM-BXT-Android,56:32:45,56:32:45,12:47:34,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-VP-BXT-PreETM,48:47:51,48:47:51,40:44:11,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-Encode-CNL-PreETM,51:09:51,51:09:51,38:03:02,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-Encode-KBL-PreETM,49:24:57,49:24:58,17:06:31,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129651,Media-VP-KBL-PreETM,49:31:46,49:31:46,13:33:41,0:40:27,75:10:32,01:07:46,76:18:18
30,manual-main-129648,Media-Encode-KBL-PreETM,05:04:48,05:04:48,553:18:21,"",33:01:46,00:54:14,33:56:00
